Code;name;PBS2020_sum;PBS en 2020 - estimation (*=oui);PBS2020_mean;PBS moyenne en 2020 - estimation (*=oui);SAU2020_mean;SAU moyenne en 2020 - estimation (*=oui);SAU moyenne : variation absolue 2020-2010;SAU moyenne : variation absolue 2020-2010 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Exploitation2020
01192;Izernore;1254;;179.1;;155.8;;73.1;;1091;;7
01193;Izieu;211;;70.2;;44.6;;18.5;;134;;3
01194;Jassans-Riottier;658;;131.7;;77.4;;27.6;;387;;5
01195;Jasseron;1025;;113.9;;66.1;;18.9;;595;;9
01196;Jayat;1381;;138.1;;76;;8;;760;;10
01197;Journans;67;;66.9;;58.3;;43.7;;58;;1
01198;Joyeux;1092;;121.4;;104.6;;30.5;;941;;9
01199;Jujurieux;328;;46.9;;27.6;;-0.3;;193;;7
01200;Labalme;78;;78.1;;159.8;;91;;160;;1
01202;Lagnieu;1391;;115.9;;100.5;;12.6;;1206;;12
01203;Laiz;858;;171.5;;114.8;;69.1;;574;;5
01204;Le Poizat-Lalleyriat;456;;76.1;;103;;-13.4;;618;;6
01206;Lantenay;85;;42.7;;44.2;;0.1;;88;;2
01207;Lapeyrouse;1414;;128.6;;89.6;;39.6;;986;;11
01208;Lavours;30;;15.2;;14.7;;7.4;;29;;2
01209;Léaz;108;;108.1;;256.2;;198.4;;256;;1
01210;Lélex;121;;60.3;;27.4;;-72.6;;55;;2
01211;Lent;2061;;85.9;;69.6;;5.5;;1671;;24
01212;Lescheroux;3914;;195.7;;70.3;;11.5;;1406;;20
01213;Leyment;557;;79.5;;73.7;;0.1;;516;;7
01214;Leyssard;0;;N/A;;N/A;;N/A;;0;;0
01215;Surjoux-Lhopital;34;;16.8;;35.2;;-19.7;;70;;2
01216;Lhuis;1713;;122.4;;52.9;;0.2;;741;;14
01219;Lompnas;723;;103.2;;122.1;;16.2;;855;;7
01224;Loyettes;2536;;281.8;;186.6;;57.6;;1679;;9
01225;Lurcy;616;;102.6;;67.5;;-23.8;;405;;6
01227;Magnieu;657;;109.6;;90.7;;19;;544;;6
01228;Maillat;213;;213.5;;153.2;;84.3;;153;;1
